Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2021,3535.40,3586.55,3505.00,3521.75,3546.361805709227705244,18076,3620,64104036.00,5982,33.09,81.55,-13.65
29-December-2021,3510.00,3575.05,3484.35,3549.70,3550.082921947965310206,14990,2036,53215743.00,2079,13.87,90.70,39.70
28-December-2021,3540.00,3555.00,3495.00,3506.85,3514.919068632053328325,10651,1884,37437403.00,2580,24.22,60.00,-33.15
27-December-2021,3430.00,3532.55,3351.00,3518.25,3441.924317904391145128,30311,6702,104328168.00,10851,35.80,181.55,88.25
24-December-2021,3550.00,3550.00,3425.00,3435.15,3481.187427885724835002,21667,5355,75426888.00,7963,36.75,125.00,-114.85
23-December-2021,3510.00,3618.45,3470.00,3536.45,3541.487513527012403229,24026,3965,85087779.00,4162,17.32,148.45,26.45
22-December-2021,3440.00,3448.95,3380.05,3429.05,3410.082173547086342905,51087,2611,174210868.00,3666,7.18,68.90,-10.95
21-December-2021,3420.00,3429.25,3366.05,3410.35,3402.359693362921121646,9914,1317,33730994.00,2825,28.50,63.20,-9.65
20-December-2021,3535.00,3535.00,3342.00,3391.20,3394.864240587747634430,34981,6381,118755746.00,19215,54.93,193.00,-143.80
17-December-2021,3695.70,3695.70,3521.50,3550.75,3560.436721129880919412,32499,9469,115710633.00,13184,40.57,174.20,-144.95
16-December-2021,3710.00,3728.25,3651.75,3673.65,3677.858596761757902852,12970,2979,47701826.00,3775,29.11,76.50,-36.35
15-December-2021,3754.90,3754.90,3671.00,3679.20,3699.885343354970960027,14635,3564,54147822.00,5941,40.59,83.90,-75.70
14-December-2021,3720.15,3761.95,3667.20,3754.90,3705.669008985988671692,23481,4830,87012814.00,6673,28.42,94.75,34.75
13-December-2021,3800.00,3806.90,3720.15,3739.95,3756.622901902275270421,13405,2323,50357530.00,3917,29.22,86.75,-60.05
